fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,standard_title,muscles
29.96,1,60,140,9633260,20220920,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00486/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00486.mp4,"근력 운동 중, 비스듬히 누워서 밀기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00486_SC_00004.jpeg,"비스듬히 누워서 밀기","인클라인 프레스",큰가슴근
29.96,1,60,141,9757527,20220909,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00487/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00487.mp4,"근력 운동 중, 거꾸로 누워서 밀기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00487_SC_00003.jpeg,"거꾸로 누워서 밀기","리버스 프레스","어깨세모근,위팔세갈래근,큰가슴근"
29.96,1,62,142,9984043,20221002,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00488/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00488.mp4,"근력 운동 중, 앉아서 모으기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00488_SC_00002.jpeg,"앉아서 모으기","시티드 어드덕션","위팔두갈래근,큰가슴근"
29.96,1,60,143,9980673,20221002,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00489/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00489.mp4,"근력 운동 중, 앉아서 위로 밀기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00489_SC_00003.jpeg,"앉아서 위로 밀기",프레스,어깨세모근
29.96,1,70,144,11720422,20220929,NULL,,1280*720,,NULL,전신,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00490/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00490.mp4,"근력 운동 중, 바벨 들어 올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00490_SC_00003.jpeg,"바벨 들어 올리기","바벨 리프팅","넙다리네갈래근,뒤넙다리근,볼기근,허리근"
29.96,1,67,145,11030245,20221005,NULL,,1280*720,,NULL,전신,기타,근력,고급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00491/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00491.mp4,"근력 운동 중, 원판 던지기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00491_SC_00005.jpeg,"원판 던지기",디스크스로우,"넙다리네갈래근,뒤넙다리근,볼기근,앞세모근,어깨세모근,척추세움근,허리근"
29.96,1,69,146,11745810,20220915,NULL,,1280*720,,NULL,전신,기타,근력,고급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00492/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00492.mp4,"근력 운동 중, 파워클린운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00492_SC_00001.jpeg,파워클린,파워클린,"뒤넙다리근,볼기근,허리근"
29.96,1,68,148,11222351,20220925,NULL,,1280*720,,NULL,하체,기타,근력,중급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00494/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00494.mp4,"근력 운동 중, 덤벨 한 발 앞으로 내밀고 앉았다 일어서기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00494_SC_00003.jpeg,"덤벨 한 발 앞으로 내밀고 앉았다 일어서기","덤벨 스쿼트","넙다리네갈래근,큰볼기근"
29.96,1,59,149,9302045,20220927,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00495/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00495.mp4,"근력 운동 중, 바벨 서서 어깨 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00495_SC_00003.jpeg,"바벨 서서 어깨 들어올리기","바벨 숄더 프레스","등세모근,어깨올림근"
29.96,1,57,150,9165331,20221010,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00496/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00496.mp4,"근력 운동 중, 턱걸이운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00496_SC_00003.jpeg,턱걸이,풀업,"넓은등근,등세모근"
29.96,1,72,151,11519460,20220929,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00497/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00497.mp4,"근력 운동 중, 바벨 끌어당기기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00497_SC_00004.jpeg,"바벨 끌어당기기","바벨 로우","넓은등근,뒤세모근,등세모근,마름모근"
