fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,training_name,standard_title
29.96,1,102,990,16778305,20221112,운동처방동영상,,1280*720,,,상체,맨몸,근력/근지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00320/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00320.mp4,"실내에서 할 수 있는 운동 중, 양팔 대각선으로 올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00320_SC_00012.jpeg,양팔 대각선으로 올리기,양팔 대각선으로 올리기,양팔 대각선으로 올리기
29.96,1,50,991,8171451,20221017,운동처방동영상,,1280*720,,,하체,기타,심폐지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00321/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00321.mp4,"실내에서 할 수 있는 운동 중, 스텝퍼 뛰어서 오르내리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00321_SC_00001.jpeg,스텝퍼 뛰어서 오르내리기,스텝퍼 뛰어서 오르내리기,스텝퍼 뛰어서 오르내리기
29.96,1,193,992,32191422,20221112,운동처방동영상,,1280*720,,,하체,맨몸,근력/근지구력,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00322/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00322.mp4,"실내에서 할 수 있는 운동 중, 누워서 다리 곧게 펴서 올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00322_SC_00001.jpeg,누워서 다리 곧게 펴서 올리기,누워서 다리 곧게 펴서 올리기,누워서 다리 곧게 펴서 올리기
29.96,1,37,993,5695339,20221017,운동처방동영상,,1280*720,,,하체,기타,민첩성,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00323/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00323.mp4,"실내에서 할 수 있는 운동 중, 스텝퍼 옆으로 뛰어넘기운동을 설명한 운동처방 동영상",0AUDLJ08S_00323_SC_00001.jpeg,스텝퍼 옆으로 뛰어넘기,스텝퍼 옆으로 뛰어넘기,스텝퍼 옆으로 뛰어넘기
29.96,1,42,994,6577033,20221017,운동처방동영상,,1280*720,,,하체,기타,순발력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00324/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00324.mp4,"실내에서 할 수 있는 운동 중, 스텝퍼 올라가서 점프하여 착지하기운동을 설명한 운동처방 동영상",0AUDLJ08S_00324_SC_00001.jpeg,스텝퍼 올라가서 점프하여 착지하기,스텝퍼 올라가서 점프하여 착지하기,스텝퍼 올라가서 점프하여 착지하기
29.96,1,37,995,5739585,20220929,운동처방동영상,,1280*720,,,전신,맨몸,순발력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00325/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00325.mp4,"실내에서 할 수 있는 운동 중, 뛰어 내렸다가 바로 점프하기운동을 설명한 운동처방 동영상",0AUDLJ08S_00325_FR_00002.jpeg,뛰어 내렸다가 바로 점프하기,뛰어 내렸다가 바로 점프하기,뛰어 내렸다가 바로 점프하기
29.96,1,42,996,6711036,20221111,운동처방동영상,,1280*720,,,전신,기타,민첩성,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00326/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00326.mp4,"실내에서 할 수 있는 운동 중, 사다리 안팎 뛰기운동을 설명한 운동처방 동영상",0AUDLJ08S_00326_FR_00002.jpeg,사다리 안팎 뛰기,사다리 안팎 뛰기,걷기/달리기
29.96,1,47,997,7545745,20221111,운동처방동영상,,1280*720,,,하체,기타,민첩성,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00327/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00327.mp4,"실내에서 할 수 있는 운동 중, 사다리 좌우 뛰기운동을 설명한 운동처방 동영상",0AUDLJ08S_00327_SC_00001.jpeg,사다리 좌우 뛰기,사다리 좌/우 뛰기,걷기/달리기
29.96,1,45,998,7081810,20221016,운동처방동영상,,1280*720,,,하체,기타,민첩성,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00328/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00328.mp4,"실내에서 할 수 있는 운동 중, 사다리 옆으로 발 옮기기운동을 설명한 운동처방 동영상",0AUDLJ08S_00328_SC_00001.jpeg,사다리 옆으로 발 옮기기,사다리 옆으로 발 옮기기,사다리 옆으로 발 옮기기
29.96,1,71,999,11546804,20220929,운동처방동영상,,1280*720,,,몸통,짐볼,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00329/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00329.mp4,"실내에서 할 수 있는 운동 중, 요통에 효과적인 운동으로 공에 엎드려서 상체 들어올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00329_SC_00004.jpeg,공에 엎드려서 상체 들어올리기,공에 엎드려서 상체 들어올리기,레이즈 (기타)
29.96,1,45,1000,7097722,20220929,운동처방동영상,,1280*720,,,하체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00330/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00330.mp4,"수영장에서 할 수 있는 운동 중, 요통에 효과적인 운동으로 물속에서 걷기운동을 설명한 운동처방 동영상",0AUDLJ08S_00330_FR_00002.jpeg,물속에서 걷기,물속에서 걷기,걷기/달리기
29.96,1,68,1001,10908617,20220930,운동처방동영상,,1280*720,,,상체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00331/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00331.mp4,"실내에서 할 수 있는 운동 중, 경부통에 효과적인 운동으로 앞 뒤 굴곡(목 앞 뒤 굴곡)운동을 설명한 운동처방 동영상",0AUDLJ08S_00331_SC_00001.jpeg,앞 뒤 굴곡(목 앞 뒤 굴곡),앞 뒤 굴곡(목 앞 뒤 굴곡),앞 뒤 굴곡(목 앞 뒤 굴곡)
29.96,1,45,1002,7190400,20221003,운동처방동영상,,1280*720,,,상체,기타,유연성,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00332/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00332.mp4,"실내에서 할 수 있는 운동 중, 경부통에 효과적인 운동으로 좌 우 굴곡(목 좌 우 굴곡)운동을 설명한 운동처방 동영상",0AUDLJ08S_00332_SC_00001.jpeg,좌 우 굴곡(목 좌 우 굴곡),좌/우 굴곡(목 좌/우 굴곡),좌 우 굴곡(목 좌 우 굴곡)
29.96,1,71,1003,11580897,20220930,운동처방동영상,,1280*720,,,상체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00333/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00333.mp4,"실내에서 할 수 있는 운동 중, 경부통에 효과적인 운동으로 좌 우 회전(목 좌 우 회전)운동을 설명한 운동처방 동영상",0AUDLJ08S_00333_FR_00002.jpeg,좌 우 회전(목 좌 우 회전),좌/우 회전(목 좌/우 회전),좌 우 회전(목 좌 우 회전)
29.96,1,61,1004,9837518,20221003,운동처방동영상,,1280*720,,,상체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00334/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00334.mp4,"실내에서 할 수 있는 운동 중, 오십견에 효과적인 운동으로 진자운동을 설명한 운동처방 동영상",0AUDLJ08S_00334_SC_00001.jpeg,진자운동,진자 운동,진자운동
29.96,1,62,1005,10053046,20221018,운동처방동영상,,1280*720,,,상체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00335/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00335.mp4,"실내에서 할 수 있는 운동 중, 오십견에 효과적인 운동으로 옆으로 누워서 팔 앞으로 당기기운동을 설명한 운동처방 동영상",0AUDLJ08S_00335_FR_00002.jpeg,옆으로 누워서 팔 앞으로 당기기,옆으로 누워서 팔 앞으로 당기기,로우
29.96,1,66,1006,10463868,20221018,운동처방동영상,,1280*720,,,상체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00336/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00336.mp4,"실내에서 할 수 있는 운동 중, 오십견에 효과적인 운동으로 테이블 이용하여 팔 들어올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00336_FR_00002.jpeg,테이블 이용하여 팔 들어올리기,테이블 이용하여 팔 들어올리기,숄더 레이즈
29.96,1,55,1007,8654305,20221111,운동처방동영상,,1280*720,,,상체,기타,재활,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00337/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00337.mp4,"실내에서 할 수 있는 운동 중, 오십견에 효과적인 운동으로 테이블 이용하여 팔 옆으로 벌리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00337_FR_00002.jpeg,테이블 이용하여 팔 옆으로 벌리기,테이블 이용하여 팔 옆으로 벌리기,숄더 레이즈
